filename,borrador,marcador azul,marcador negro,marcador rojo
foto_0007_jpg.rf.1aca19fbe54d18f224643ef83b445aee.jpg,0,0,1,0
IMG20251123155800_jpg.rf.200f313522134a4acc99e1ad1c863f86.jpg,0,1,1,1
IMG-20251123-WA0162_jpg.rf.a0aaa3cfef4c60043fb8fb4e4b48b85c.jpg,0,0,0,1
IMG20251123154833_jpg.rf.412c60f5b27128336fe1a1b0ebe07d01.jpg,0,0,1,0
IMG-20251123-WA0070_jpg.rf.9d9fb197bd6c8133f6d0fe36267781b7.jpg,0,0,1,0
IMG_20251121_123719_jpg.rf.73d2445e691519ab15318cda2afaf9fb.jpg,0,1,0,1
IMG_20251123_121948_jpg.rf.d6d02852b16517dac423d8b499bb0cf4.jpg,0,0,1,0
IMG-20251123-WA0015_jpg.rf.2e063e61fcc10020812eac4f16cea270.jpg,0,0,0,1
IMG_20251121_132430_jpg.rf.6b2dc0cf4ed15cb9fdc85c018db6743a.jpg,0,0,1,0
IMG-20251125-WA0051_jpg.rf.b64d7cf3b9b9a6854fe2c281b1c5c337.jpg,1,0,0,0
IMG20251123175310_jpg.rf.3c637a8b16e6ebee7075694f9489e0d2.jpg,0,0,0,1
IMG_20251125_002645_jpg.rf.7c8771c0706f331a68b6269287d69f3d.jpg,1,0,0,0
IMG_20251121_115232_jpg.rf.358973bd847470de16e8906b8d7de6b6.jpg,0,0,0,1
foto_0028_jpg.rf.affae8b6fb1fd2c0289169454c4ffdf4.jpg,0,0,0,1
IMG_20251123_211603_jpg.rf.365abd53d872b0223d417372d32120ae.jpg,1,0,1,1
IMG_20251123_213030_jpg.rf.571b46128d79f03d5a9b80e3cccfc01d.jpg,1,0,0,0
IMG_20251123_175029_jpg.rf.f3f5504cb6ecacd53c28b45f62832966.jpg,0,1,0,0
IMG-20251125-WA0034_jpg.rf.51d71b2462ec2006d92d26627e21b2fd.jpg,1,0,0,0
IMG_20251121_132254_jpg.rf.30a586763184f5c497f9cd0042c2ee3c.jpg,0,0,1,0
IMG20251123160510_jpg.rf.c5da3804fe071b4e01035edc9c5ba95f.jpg,0,1,0,1
IMG-20251125-WA0087_jpg.rf.f564d255e6766b321a2c2c2ac24597a8.jpg,1,0,0,0
foto_0022_jpg.rf.59e9f7211d4a1bf900b8eac3e2d8f52c.jpg,0,0,1,0
IMG_20251121_122113_jpg.rf.2c4ab9df10dd3872da2489f462a7b77d.jpg,0,1,0,0
IMG_20251122_210526_jpg.rf.6adbae7efd4ccbfbef893f80406066e1.jpg,0,1,0,0
IMG_20251123_154921_jpg.rf.6c7fdf9bd45feb560c5652fc1f19d0e9.jpg,0,1,0,0
IMG_20251123_212721_jpg.rf.a25b9ce448142c3e99621d29aea87a68.jpg,1,0,0,0
20251122_194715_jpg.rf.0419219cdafa6a1471eb0396b38232db.jpg,0,1,0,0
IMG_20251125_001432_jpg.rf.8190bf85a3e1b1c3a40943ca3f488328.jpg,1,0,0,0
foto_0026_jpg.rf.a4ea011b6c9088266f8c59dd89e9887c.jpg,0,0,1,0
IMG_20251123_155831_jpg.rf.8ff838544a94332e21f0fb01db956d6e.jpg,0,1,0,0
foto_0001_jpg.rf.a4d251d3e3551ede3c1cb04b7bef642e.jpg,0,0,0,1
IMG_20251121_123003_jpg.rf.4ca2adb99cd43593007293480d6fe20a.jpg,0,0,1,0
IMG-20251123-WA0095_jpg.rf.99f5aebafbf27245e633297e4ba0f3e3.jpg,0,0,1,0
foto_0064_jpg.rf.e68a8f08c10951b142f5e5e58d479ef4.jpg,1,0,0,0
IMG-20251123-WA0085_jpg.rf.27c6eeb0ad9f91a7bc871d89c3a7acc5.jpg,0,0,1,0
foto_0067_jpg.rf.c07e42930d70b384bfbb51511ee26c80.jpg,1,0,0,0
IMG-20251123-WA0145_jpg.rf.21fa34c7d039fbee99a0a61cccad8a7f.jpg,0,0,0,1
IMG_20251121_122855_jpg.rf.415ff4450b954c5b8268c84de7713a9c.jpg,0,1,0,0
IMG_20251123_160634_jpg.rf.ffc1d5bdeba65f87ff30bddeca4fbd9a.jpg,0,1,0,0
foto_0016_jpg.rf.07c59deacbc2529e187ca78dd081d122.jpg,0,0,1,0
IMG20251123155834_jpg.rf.676a86422d7497c53e65e09aabc410ed.jpg,0,0,1,1
IMG_20251122_210533_jpg.rf.a1fe282e9db154cc3b7f3fc5b03ce5b3.jpg,0,1,0,0
foto_0071_jpg.rf.efcc8845fed0261a5d1308780d2f8393.jpg,0,1,0,0
IMG_20251123_160104_jpg.rf.dbde4731fa514ba8e5507860f37c1f55.jpg,0,0,0,1
IMG-20251123-WA0010_jpg.rf.323ae4dd5f78074932af586be4b15550.jpg,0,1,0,0
20251122_201410_jpg.rf.0916b7ab3fa0ac96bf79193432e64f2a.jpg,0,1,0,0
foto_0064_jpg.rf.3e04c062da614c6e363e913468c72b3c.jpg,0,0,1,0
IMG-20251123-WA0094_jpg.rf.af1f4d2c7c4624d8ef4be38c5b1e4616.jpg,0,0,1,0
foto_0018_jpg.rf.eba8b50afcb6e15340621e3f42402669.jpg,1,0,0,0
foto_0037_jpg.rf.c5da231fa7254ce2b2563481e05cdc81.jpg,0,0,1,0
foto_0080_jpg.rf.de0f1c4ceb7e747c3664ddaf25d96db4.jpg,0,0,1,0
IMG_20251125_102555_jpg.rf.a19c4b68411c9ac932fc83a5de43269c.jpg,1,0,0,0
20251122_194327_jpg.rf.c3859018f18630456deeb89ce18ad2b6.jpg,0,1,0,0
foto_0076_jpg.rf.f4c185bad28118c91de01d652a1afe72.jpg,0,0,1,0
foto_0120_jpg.rf.215cc2427c20aaaf7f42dfd45de4f6d1.jpg,0,0,1,0
foto_0029_jpg.rf.5117a5ca9691f2be97cb33422796a7e6.jpg,0,0,0,1
IMG-20251123-WA0064_jpg.rf.7bba7a59a4132e619dba55e544d3872f.jpg,0,0,1,0
foto_0085_jpg.rf.0cb544da0aa9e2d0a80b00cabcdbe75d.jpg,0,1,0,0
foto_0153_jpg.rf.0ed3bfd48f1c48b8da54c82de22a4b96.jpg,0,0,1,0
foto_0012_jpg.rf.bfed4ff452d664ef73e45ed4719b33a3.jpg,0,0,1,0
IMG_20251121_121833_jpg.rf.4106f323e8bbe934fc41a7d5dfa0bfc1.jpg,0,1,1,0
foto_0089_jpg.rf.9ac0172725fa76bcd46e1e70b44c18bb.jpg,1,0,0,0
foto_0002_jpg.rf.0a64362369fd32e6c98da204179b5a4c.jpg,0,1,0,0
IMG_20251125_075005_jpg.rf.50d8b7eafa0db58f06d3c7a052230167.jpg,1,0,0,0
foto_0100_jpg.rf.1e9cc2fdb57eec98f5b053d539c059d7.jpg,0,0,1,0
IMG_20251123_175339_jpg.rf.a36e55e9b417b1e03c892670323c8475.jpg,0,1,0,0
foto_0067_jpg.rf.dd26b48be530251893eb4932a2fb71de.jpg,0,1,0,0
foto_0092_jpg.rf.46c58f13aff2c879ba7437c61cc8b5c9.jpg,0,1,0,0
foto_0030_jpg.rf.e9191cd27fa4028fdcc3116c2dda7f25.jpg,1,0,0,0
IMG_20251123_211603_jpg.rf.9854972278e1f8ee5a8176d911ef2c61.jpg,1,0,1,1
foto_0049_jpg.rf.67f9640badb310dba8e2d4941e732180.jpg,0,0,0,1
IMG_20251122_205822_jpg.rf.1d65327aabdda1da9c69ddf3069f8d0d.jpg,0,0,0,1
IMG_20251121_122858_jpg.rf.cae67c590cfc7fcfc802e6ceb564b766.jpg,0,1,0,0
IMG_20251123_121047_jpg.rf.24978576537e8135735507a63bec717e.jpg,0,0,1,0
IMG_20251123_174710_jpg.rf.afc2c2be51e87fb3956d50ae4bf9bc70.jpg,0,0,0,1
IMG-20251123-WA0020_jpg.rf.9ceda1b2e75c6273114d742668fd3b3a.jpg,0,1,0,0
IMG_20251123_155941_jpg.rf.4e2e252f08b13ab51148e93f4e4b027f.jpg,0,0,0,1
IMG_20251123_174752_jpg.rf.19d5de55d426a27acc16061e84b05c5f.jpg,0,1,0,0
IMG_20251121_122130_jpg.rf.064cbeb6d592acf6421b0ee40ff4d20e.jpg,0,0,0,1
IMG_20251121_122709_jpg.rf.c0a7949618fe09ac6d24cba25ce5727f.jpg,0,0,1,0
foto_0018_jpg.rf.eb4616db7057b5c2da437a1f58c66c46.jpg,0,0,0,1
IMG_20251123_155810_jpg.rf.caaa98ff335b1bf8a31d9c78752c33b7.jpg,0,1,0,0
foto_0043_jpg.rf.5cb0496c71710b126b8e0d91f23d43bc.jpg,0,0,1,0
foto_0068_jpg.rf.449aaedfede1cad58b8839e376b8730b.jpg,0,0,1,0
IMG_20251121_122709_jpg.rf.1bf88b5139a45f854066c46bdc424e55.jpg,0,0,1,0
foto_0085_jpg.rf.05de8c661446c84bc3fdc19a2c7e4b5c.jpg,0,0,1,0
IMG_20251121_132456_jpg.rf.f8fdc1d6974a61f15814b23568bde478.jpg,0,1,0,0
IMG20251124155149_jpg.rf.fcd26a349cc38a84eea367c43d0a05d2.jpg,1,0,0,0
IMG_20251125_002838_jpg.rf.f5b15eb2d28e3540b53a99802d111b4a.jpg,1,0,0,0
IMG_20251125_000921_jpg.rf.921ee0d7a05dcdf3d81fdbe0105fd7b2.jpg,1,0,0,0
IMG20251123160217_jpg.rf.9dcf44e0bc601f7cefeeeb5d320caa0c.jpg,0,1,1,1
foto_0027_jpg.rf.61dbbbcb241b3e1f8c64e4a7d533c2a9.jpg,0,1,0,0
IMG_20251123_213030_jpg.rf.f1af07010adcf76ee465e6733aa843b8.jpg,1,0,0,0
IMG_20251123_160043_jpg.rf.dd31e2ba925802f40b255e4d5c1caece.jpg,0,0,1,0
IMG-20251125-WA0058_jpg.rf.27235527c86a3ed7403d0636baca84ce.jpg,1,0,0,0
foto_0052_jpg.rf.32377288f3eaca08f63e96ef2c734232.jpg,0,0,1,0
foto_0044_jpg.rf.79b901064f75e83e3f6ce0a95455fe24.jpg,0,0,1,0
foto_0099_jpg.rf.52422d4f35f02f577d86b06425a9b85e.jpg,0,1,0,0
foto_0084_jpg.rf.e5705d553118d153aec7486d055fc95c.jpg,0,0,1,0
IMG_20251123_160043_jpg.rf.087b971a9ab79171a1fb24fa92f66836.jpg,0,0,1,0
